3500	10.0000	0.0200    
15, 16, 26, 19
30, 15, 23, 22
26, 25, 20, 17
14, 16, 20, 25
15, 21, 21, 19
15, 28, 22, 16
22, 26, 24, 25
17, 26, 20, 28
23, 25, 24, 25
28, 20, 19, 18
25, 15, 25, 25
22, 27, 24, 23
18, 15, 19, 23
23, 19, 25, 22
21, 20, 19, 27
20, 20, 22, 19
26, 13, 15, 15
20, 26, 18, 17
27, 16, 22, 17
9, 13, 16, 13
20, 19, 16, 15
23, 18, 19, 13
14, 20, 9, 18
20, 9, 20, 22
23, 22, 10, 21
17, 18, 17, 16
19, 24, 12, 9
18, 21, 19, 14
19, 17, 18, 11
13, 13, 35, 20
12, 22, 14, 6
18, 16, 18, 14
9, 18, 17, 14
20, 16, 22, 16
10, 10, 18, 17
16, 27, 20, 12
22, 17, 19, 13
13, 17, 17, 14
13, 19, 16, 23
16, 21, 14, 17
16, 15, 22, 16
7, 14, 15, 16
12, 12, 21, 10
11, 14, 16, 18
14, 11, 22, 15
13, 15, 13, 16
12, 13, 7, 15
28, 13, 10, 10
11, 11, 18, 14
22, 12, 13, 19
20, 15, 14, 13
20, 14, 16, 13
17, 13, 12, 19
14, 11, 12, 17
13, 18, 16, 9
14, 17, 12, 12
13, 15, 12, 21
17, 12, 14, 20
13, 13, 7, 11
15, 8, 8, 13
12, 19, 12, 10
16, 13, 13, 16
16, 15, 17, 7
9, 17, 19, 13
11, 8, 15, 17
12, 12, 13, 8
10, 13, 15, 13
7, 9, 10, 28
17, 19, 13, 12
6, 13, 13, 21
11, 13, 13, 20
11, 13, 4, 15
11, 16, 15, 14
15, 17, 10, 16
6, 19, 15, 14
13, 9, 11, 12
11, 17, 15, 13
9, 21, 9, 16
9, 12, 16, 8
13, 6, 12, 12
14, 16, 14, 12
19, 12, 12, 12
11, 11, 12, 10
15, 19, 13, 13
13, 18, 15, 9
11, 13, 17, 17
10, 16, 11, 16
16, 6, 9, 14
12, 10, 9, 14
13, 13, 18, 11
10, 12, 11, 13
9, 11, 17, 8
13, 12, 10, 12
13, 10, 9, 12
9, 14, 10, 9
12, 8, 9, 14
19, 11, 18, 12
9, 6, 10, 7
17, 8, 16, 14
19, 7, 10, 6
19, 10, 10, 12
9, 7, 12, 12
17, 11, 10, 17
18, 11, 16, 11
14, 14, 9, 12
17, 12, 8, 13
13, 6, 13, 10
12, 14, 18, 16
15, 12, 13, 17
7, 14, 5, 9
13, 13, 10, 9
9, 3, 9, 9
10, 10, 14, 14
5, 13, 7, 11
9, 11, 9, 14
11, 12, 6, 17
10, 5, 15, 7
11, 12, 16, 10
9, 10, 10, 16
10, 3, 12, 10
14, 13, 5, 8
9, 12, 11, 7
13, 11, 9, 16
10, 12, 12, 11
10, 7, 15, 10
16, 12, 17, 8
10, 11, 10, 14
8, 9, 19, 14
8, 13, 7, 18
11, 13, 7, 15
12, 16, 13, 10
13, 12, 10, 12
11, 15, 14, 18
13, 9, 16, 20
10, 14, 12, 13
19, 15, 12, 14
18, 8, 21, 9
10, 9, 4, 14
11, 9, 15, 10
11, 12, 12, 8
9, 10, 15, 11
15, 12, 20, 15
19, 11, 12, 15
6, 13, 11, 7
13, 9, 5, 11
7, 14, 11, 14
13, 17, 14, 13
13, 9, 6, 9
6, 11, 8, 11
14, 19, 10, 8
12, 11, 13, 7
9, 13, 13, 9
7, 14, 14, 9
8, 12, 13, 12
12, 12, 14, 14
9, 9, 11, 7
18, 13, 12, 10
23, 7, 10, 13
7, 15, 21, 6
16, 6, 8, 9
8, 8, 9, 9
8, 16, 13, 9
11, 14, 17, 8
12, 16, 7, 10
12, 16, 6, 12
13, 8, 9, 15
18, 15, 10, 7
13, 16, 15, 11
16, 11, 11, 14
9, 12, 17, 10
8, 13, 14, 12
12, 8, 3, 11
7, 11, 10, 10
10, 12, 13, 9
13, 9, 15, 7
13, 4, 12, 10
7, 11, 11, 4
8, 11, 11, 11
11, 12, 7, 11
12, 14, 9, 12
14, 10, 9, 12
8, 10, 5, 11
11, 17, 13, 6
9, 14, 13, 6
15, 8, 15, 9
11, 11, 9, 5
12, 10, 12, 10
9, 13, 16, 10
6, 19, 14, 10
14, 4, 18, 13
13, 9, 13, 5
7, 12, 14, 14
8, 10, 11, 13
16, 10, 15, 11
4, 16, 17, 16
12, 8, 10, 9
11, 10, 10, 9
9, 11, 14, 13
11, 7, 10, 6
13, 12, 12, 15
9, 12, 10, 19
15, 6, 13, 13
13, 13, 15, 9
10, 9, 11, 10
14, 11, 17, 7
10, 11, 12, 10
9, 11, 17, 9
12, 13, 15, 15
11, 7, 18, 11
14, 17, 17, 20
6, 12, 10, 12
21, 16, 10, 7
15, 12, 16, 12
19, 11, 11, 12
15, 16, 16, 13
11, 14, 11, 14
17, 12, 10, 21
11, 20, 18, 13
11, 14, 16, 14
17, 13, 9, 15
17, 20, 21, 17
23, 22, 17, 16
16, 27, 25, 22
27, 25, 39, 54
34, 52, 49, 47
71, 68, 95, 124
140, 142, 157, 235
298, 355, 443, 593
770, 1010, 1345, 1823
2330, 3090, 4425, 6561
9186, 10342, 8466, 5905
5103, 4354, 2689, 1177
509, 314, 259, 193
163, 127, 115, 96
91, 63, 64, 63
47, 56, 49, 51
38, 42, 41, 29
34, 25, 27, 20
25, 22, 18, 18
26, 18, 15, 16
12, 16, 21, 19
15, 20, 11, 14
17, 12, 20, 10
13, 15, 19, 7
12, 12, 14, 12
9, 5, 9, 10
13, 12, 11, 11
13, 8, 7, 13
12, 14, 10, 10
11, 10, 10, 16
7, 10, 12, 15
6, 14, 5, 9
9, 14, 7, 8
13, 8, 7, 9
14, 6, 15, 16
7, 14, 15, 6
10, 7, 9, 13
5, 15, 16, 10
9, 8, 12, 12
10, 7, 9, 6
3, 10, 13, 7
9, 12, 6, 10
6, 4, 8, 9
6, 6, 13, 13
10, 8, 14, 4
9, 8, 9, 15
10, 9, 9, 10
9, 19, 8, 10
9, 8, 9, 8
12, 9, 9, 3
3, 7, 11, 6
8, 6, 4, 11
12, 7, 9, 6
4, 11, 14, 9
8, 7, 7, 13
5, 9, 10, 15
7, 12, 7, 10
6, 8, 8, 7
4, 15, 8, 9
9, 6, 9, 6
8, 14, 13, 6
5, 6, 6, 8
8, 5, 8, 12
5, 10, 9, 11
3, 10, 5, 9
11, 4, 10, 6
10, 13, 11, 2
10, 8, 5, 15
15, 6, 8, 7
7, 8, 10, 12
9, 8, 8, 4
9, 7, 18, 11
6, 3, 6, 5
9, 7, 16, 5
5, 11, 12, 11
10, 8, 10, 7
11, 8, 2, 7
14, 16, 9, 10
8, 13, 9, 4
7, 10, 7, 10
13, 12, 8, 8
11, 6, 4, 10
12, 2, 7, 7
9, 6, 9, 10
7, 11, 4, 5
7, 10, 8, 11
5, 7, 10, 8
9, 5, 9, 9
12, 6, 4, 10
7, 7, 6, 10
6, 3, 9, 3
9, 8, 4, 6
